127.0.0.1, 2018-05-23 11:28:00, GET, /, HTTP/1.1, 303, 0.003608
127.0.0.1, 2018-05-23 11:28:01, GET, /welcome/default/index, HTTP/1.1, 200, 0.329989
127.0.0.1, 2018-05-23 11:28:08, GET, /start/default/index, HTTP/1.1, 200, 0.130764
127.0.0.1, 2018-05-23 11:28:08, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000447
127.0.0.1, 2018-05-23 11:28:08, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.003301
127.0.0.1, 2018-05-23 11:28:08, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.002832
127.0.0.1, 2018-05-23 11:28:08, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000897
127.0.0.1, 2018-05-23 11:28:08, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.002378
127.0.0.1, 2018-05-23 11:28:08, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000837
127.0.0.1, 2018-05-23 11:28:08, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001763
127.0.0.1, 2018-05-23 11:28:08, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.001553
127.0.0.1, 2018-05-23 11:28:08, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000795
127.0.0.1, 2018-05-23 11:28:08, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.003016
127.0.0.1, 2018-05-23 11:28:08, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.002106
127.0.0.1, 2018-05-23 11:28:08, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.011722
127.0.0.1, 2018-05-23 11:28:08, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.030679
127.0.0.1, 2018-05-23 11:28:09, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000571
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000746
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000335
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.001254
127.0.0.1, 2018-05-23 11:31:36, GET, /start/default/index, HTTP/1.1, 200, 0.047715
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001072
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001393
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000636
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001548
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000524
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000433
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/js/default_index.js, HTTP/1.1, 304, 0.000579
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000386
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/js/vue.js, HTTP/1.1, 304, 0.000789
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000416
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000424
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.001042
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000944
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001337
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000578
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.000474
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/js/vue.js, HTTP/1.1, 304, 0.000441
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/js/default_index.js, HTTP/1.1, 304, 0.000753
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000518
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001365
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000411
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.000671
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000448
127.0.0.1, 2018-05-23 11:31:36, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.006630
127.0.0.1, 2018-05-23 11:31:37, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000430
127.0.0.1, 2018-05-23 11:31:38, GET, /admin/default/site, HTTP/1.1, 303, 0.179685
127.0.0.1, 2018-05-23 11:31:38, GET, /admin/default/index, HTTP/1.1, 200, 0.045229
